,subtasks,description,crafter_subtasks
571,"['Collect Stone with count 1', 'Collect Sapling', 'Collect Coal']"," 'Seek a Stone, find a Sapling, and dig up some Coal from the earth.'","['collect_stone', 'collect_sapling', 'collect_coal']"
572,"['Make Wood Pickaxe with count 2', 'Collect Stone with count 2', 'Make Stone Pickaxe with count 1', 'Collect Iron']","""Gather two units of wood and craft a pickaxe from them, then collect two stones and use them to create another pickaxe, followed by acquiring some iron.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
573,"['Make Iron Pickaxe', 'Collect Diamond with count 3', 'Eat Cow']"," ""Craft a sturdy metal implement, gather three precious gems from the earth, and enjoy a hearty meal of beef.""","['make_iron_pickaxe', 'collect_diamond', 'collect_diamond', 'collect_diamond', 'eat_cow']"
574,"['Make Wood Pickaxe with count 3', 'Collect Stone', 'Place Furnace']"," ""Fashion a pickaxe of oak or beech, three times thrice, then gather stones in plenty. And lastly, a furnace, kindle with care, and set in a suitable place.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
575,"['Make Iron Pickaxe', 'Collect Diamond', 'Defeat Skeleton']","Instruct the agent to craft an iron pickaxe, mine a diamond using the pickaxe, and then eliminate a skeleton.","['make_iron_pickaxe', 'collect_diamond', 'defeat_skeleton']"
576,"['Defeat Skeleton', 'Collect Sapling', 'Collect Wood', 'Place Table']","""Vanquish the skeletal adversary, gather a sapling specimen, collect some wooden planks, and position a table in the designated area.""","['defeat_skeleton', 'collect_sapling', 'collect_wood', 'place_table']"
577,"['Make Wood Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']"," ""Fashion a pickaxe of wood, gather logs from the forest, prepare a table, carve another wooden pickaxe, and seek stones in the earth.""","['make_wood_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
578,"['Eat Cow', 'Defeat Zombie', 'Collect Wood']","Instructive sentence: 'Gather timber, vanquish the undead, and consume bovine flesh within the virtual realm.'","['eat_cow', 'defeat_zombie', 'collect_wood']"
579,"['Collect Stone', 'Place Furnace', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']","""Gather rocks, set up a furnace, craft a wooden pickaxe, acquire more rocks, and forge a stone pickaxe.""","['collect_stone', 'place_furnace', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
580,"['Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Procure materials to craft a stone pickaxe, gather iron, and fashion an iron sword.""","['make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
581,"['Defeat Zombie', 'Collect Stone', 'Make Stone Pickaxe']"," ""Slay the wights, collect small stones, and forge a pickaxe for the excavation of the earth.""","['defeat_zombie', 'collect_stone', 'make_stone_pickaxe']"
582,"['Eat Cow', 'Collect Iron', 'Eat Plant']"," ""Partake of noble beasts, gather shining stones, and taste the fruits of the earth.""","['eat_cow', 'collect_iron', 'eat_plant']"
583,"['Collect Drink', 'Wake Up with count 3', 'Place Stone']"," ""Secure a draught, rouse yourself on the third dawn, and place a stone.""","['collect_drink', 'wake_up', 'wake_up', 'wake_up', 'place_stone']"
584,"['Collect Stone with count 2', 'Place Table', 'Make Wood Sword with count 1']","Gather two stones, construct a table, and create a wooden sword with a single unit.","['collect_stone', 'collect_stone', 'place_table', 'make_wood_sword']"
585,"['Make Stone Sword with count 2', 'Place Stone', 'Collect Sapling']"," ""Craft two stone blades, place a stone block, and find a young tree.""","['make_stone_sword', 'make_stone_sword', 'place_stone', 'collect_sapling']"
586,"['Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Secure the timber, build a table, and craft a wooden weapon, as if in the Shire.""","['collect_wood', 'place_table', 'make_wood_sword']"
587,"['Collect Stone with count 3', 'Collect Wood with count 4', 'Place Table']","""Gather three stones and four pieces of wood, then construct a table.""","['collect_stone', 'collect_stone', 'collect_stone', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
588,"['Make Iron Sword', 'Collect Stone with count 5', 'Place Furnace']"," ""Fashion a blade from iron, gather five stones, and place a furnace.""","['make_iron_sword', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
589,"['Collect Wood', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 3']"," ""Gather logs for fire, craft a table from oak, fashion a wooden pickaxe, and delve into the mountainside three times with the pickaxe to mine stone.""","['collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone']"
590,"['Defeat Zombie with count 1', 'Collect Coal', 'Make Stone Pickaxe', 'Collect Iron']","""Vanquish the solitary zombie, amass coal, craft a stone pickaxe, and gather iron.""","['defeat_zombie', 'collect_coal', 'make_stone_pickaxe', 'collect_iron']"
591,"['Make Stone Sword', 'Make Wood Pickaxe', 'Collect Stone']"," ""Seek out a stone sword, a wooden pickaxe, and collect some stones from the land around you.""","['make_stone_sword', 'make_wood_pickaxe', 'collect_stone']"
592,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Gather firewood, build a table, carve a wooden pickaxe, dig up rocks, and forge a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
593,"['Collect Stone', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe with count 2', 'Collect Iron', 'Make Iron Sword']"," ""Gather stones, shape a wooden pickaxe, collect more stones, create two stone pickaxes, mine for iron, and forge an iron blade.""","['collect_stone', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
594,"['Collect Stone', 'Place Table', 'Make Wood Pickaxe']"," ""Collect some stones, place a chair or table, and fashion a pick or shovel from wood.""","['collect_stone', 'place_table', 'make_wood_pickaxe']"
595,"['Collect Wood', 'Place Table', 'Place Furnace']","""Gather firewood, set up a table, and install a stove.""","['collect_wood', 'place_table', 'place_furnace']"
596,"['Defeat Skeleton', 'Collect Diamond', 'Collect Stone', 'Make Stone Sword']"," ""Overcome the adversary, gain a health pack, collect ammunition, and activate the switch.""","['defeat_skeleton', 'collect_diamond', 'collect_stone', 'make_stone_sword']"
597,"['Collect Stone with count 1', 'Make Stone Pickaxe with count 2', 'Wake Up']"," ""Find a stone, shape two pickaxes from it, and awaken from your rest.""","['collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'wake_up']"
598,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']"," ""First, craft a wooden pickaxe, then gather materials for a stone one. Lastly, collect the necessary stone.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
599,"['Make Stone Pickaxe with count 3', 'Make Iron Sword', 'Collect Wood with count 2']"," ""Seek out the stones to fashion a pickaxe, three times over. Forge an iron sword, strong and sharp. Gather two staves of wood, straight and true.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_iron_sword', 'collect_wood', 'collect_wood']"
600,"['Defeat Zombie', 'Place Table with count 2', 'Collect Diamond']","In the virtual environment, an agent should strive to vanquish the Zombie, set up a Table with a quantity of 2, and gather a Diamond.","['defeat_zombie', 'place_table', 'place_table', 'collect_diamond']"
601,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 3']"," ""Collect firewood, build a table of oak, and craft a wooden pickaxe with three heads.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe']"
602,"['Eat Cow', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 3']","""Ingest bovine flesh, gather lumber, position a table, manufacture a pickaxe made of wood with a quantity of three.""","['eat_cow', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe']"
603,"['Make Wood Pickaxe', 'Place Plant with count 3', 'Collect Sapling', 'Place Plant']"," ""Fashion a pickaxe of wood, place a sprout of greenery upon the earth three times, gather a young tree, and lay a plant in its place.""","['make_wood_pickaxe', 'place_plant', 'place_plant', 'place_plant', 'collect_sapling', 'place_plant']"
604,"['Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe with count 1', 'Collect Diamond']"," ""Fashion a pickaxe of wood, gather a hoard of coal, forge an iron pick, and amass a treasure of diamonds.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
605,"['Make Wood Pickaxe with count 1', 'Collect Coal', 'Make Iron Pickaxe']","""Procure materials to craft a wooden pickaxe, gather a unit of coal, and manufacture an iron pickaxe.""","['make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
606,"['Make Stone Pickaxe', 'Place Furnace', 'Eat Cow']"," ""Fashion a pickaxe of stone, kindle a furnace, and dine on a cow.""","['make_stone_pickaxe', 'place_furnace', 'eat_cow']"
607,"['Make Stone Pickaxe', 'Eat Cow with count 1', 'Collect Sapling with count 3', 'Place Plant']"," ""Fashion a pick from stone, feast on a solitary cow, gather three young trees, and place a plant in the earth.""","['make_stone_pickaxe', 'eat_cow', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant']"
608,"['Eat Plant', 'Defeat Skeleton', 'Defeat Zombie with count 2']","""Consume vegetation, vanquish two skeletons, and defeat a zombie.""","['eat_plant', 'defeat_skeleton', 'defeat_zombie', 'defeat_zombie']"
609,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Drink']"," ""Seek out an Iron Pickaxe, delve into the earth for a Diamond, and find a Beverage to quench your thirst.""","['make_iron_pickaxe', 'collect_diamond', 'collect_drink']"
610,"['Collect Drink', 'Collect Drink', 'Collect Drink']","""Acquire beverage three times in the virtual environment.""","['collect_drink', 'collect_drink', 'collect_drink']"
611,"['Collect Stone', 'Eat Plant', 'Place Stone']","Gather pebbles, consume vegetation, and deposit rocks.","['collect_stone', 'eat_plant', 'place_stone']"
612,"['Collect Sapling', 'Collect Coal', 'Make Iron Pickaxe with count 3']","""Gather a young tree, mine coal, and craft three iron pickaxes.""","['collect_sapling', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe']"
613,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone with count 1', 'Place Stone with count 1']","""Consume a bovine, craft a wooden tool for mining, gather a single unit of rock, and position a single unit of stone.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
614,"['Collect Coal', 'Make Stone Pickaxe', 'Make Wood Pickaxe', 'Collect Stone']","""Gather coal, craft both a stone and a wooden pickaxe, and obtain stones in the environment.""","['collect_coal', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone']"
615,"['Eat Plant with count 1', 'Eat Plant', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']","""Consume a single plant, dine on vegetation, craft a wooden pickaxe, gather rock, and position stone.""","['eat_plant', 'eat_plant', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
616,"['Collect Sapling', 'Collect Stone', 'Place Stone']"," ""Seek out a sapling young, a stone unyielding, and place the latter near the former.""","['collect_sapling', 'collect_stone', 'place_stone']"
617,"['Make Wood Pickaxe', 'Collect Stone with count 1', 'Make Stone Pickaxe', 'Collect Iron']"," ""Craft a wooden pick, gather a stone, forge a stone pick, and mine for iron.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
618,"['Make Stone Pickaxe', 'Eat Cow with count 1', 'Collect Sapling with count 3', 'Place Plant']","""Craft a stone pickaxe, dine on a single cow, gather three saplings, and position a plant.""","['make_stone_pickaxe', 'eat_cow', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant']"
619,"['Make Wood Pickaxe', 'Collect Stone', 'Make Iron Pickaxe with count 2', 'Collect Diamond with count 2']"," ""Seek out two gleaming diamonds, two sturdy iron pickaxes, forge a wooden pickaxe, and delve into the mountains to mine for stone.""","['make_wood_pickaxe', 'collect_stone', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
620,"['Collect Drink', 'Collect Stone', 'Collect Iron', 'Make Iron Sword']","""Gather a beverage, a rock, and some iron, then forge an iron blade.""","['collect_drink', 'collect_stone', 'collect_iron', 'make_iron_sword']"
621,"['Eat Plant', 'Make Stone Sword', 'Make Wood Pickaxe', 'Collect Stone']","""Consume vegetation, craft a stony weapon, manufacture a wooden tool for mining, and gather rock materials.""","['eat_plant', 'make_stone_sword', 'make_wood_pickaxe', 'collect_stone']"
622,"['Collect Stone', 'Collect Stone', 'Eat Cow']","""Gather pebbles, acquire rocks, and dine on cattle in the virtual world.""","['collect_stone', 'collect_stone', 'eat_cow']"
623,"['Make Iron Pickaxe', 'Collect Diamond with count 3', 'Eat Cow']","""Forge a metal tool, mine three precious gemstones, and consume a bovine.""","['make_iron_pickaxe', 'collect_diamond', 'collect_diamond', 'collect_diamond', 'eat_cow']"
624,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal with count 2']"," ""Slay the ghastly revenant, hew a pick from the timber, and gather two lumps of coal, precious fuel of the earth.""","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal', 'collect_coal']"
625,"['Eat Plant', 'Collect Wood', 'Place Table']"," ""Feast on the greenery, amass the wooden planks, and place a seat.""","['eat_plant', 'collect_wood', 'place_table']"
626,"['Make Stone Sword', 'Collect Coal', 'Make Iron Pickaxe']","""Fashion a stone blade, gather bituminous rock, and manufacture an iron mining tool.""","['make_stone_sword', 'collect_coal', 'make_iron_pickaxe']"
627,"['Collect Sapling', 'Place Plant', 'Eat Plant']","""Gather a young tree, position it in the ground, and consume the vegetation.""","['collect_sapling', 'place_plant', 'eat_plant']"
628,"['Defeat Skeleton', 'Defeat Zombie', 'Eat Cow']"," ""Bound over 3 times, surmount 5 barriers, and cross 7 chasms.""","['defeat_skeleton', 'defeat_zombie', 'eat_cow']"
629,"['Defeat Skeleton', 'Make Iron Pickaxe', 'Collect Diamond with count 2']","""Vanquish the skeletal adversary, craft an iron pickaxe, and gather precisely two diamantine gems.""","['defeat_skeleton', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond']"
630,"['Make Stone Pickaxe', 'Make Wood Pickaxe with count 3', 'Collect Stone', 'Make Stone Pickaxe']"," ""Seek three wooden picks, and forge a stone one. Gather stones, and craft another stone tool.""","['make_stone_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
631,"['Collect Sapling', 'Place Plant', 'Place Table', 'Make Wood Pickaxe with count 3', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']","""Gather a sapling, position a plant, set up a table, craft a wooden pickaxe three times using wood, accumulate stones, manufacture a stone pickaxe, and amass iron.""","['collect_sapling', 'place_plant', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
632,"['Collect Coal with count 3', 'Defeat Zombie', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 3']"," ""Seek three lumps of coal, slay the wight, build a table, carve a pickaxe from wood, and then obtain three more pieces of coal.""","['collect_coal', 'collect_coal', 'collect_coal', 'defeat_zombie', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal']"
633,"['Make Stone Sword', 'Make Wood Pickaxe', 'Collect Stone']","""Procure a stone sword, a wooden pickaxe, and gather some stones in the environment.""","['make_stone_sword', 'make_wood_pickaxe', 'collect_stone']"
634,"['Make Stone Pickaxe with count 2', 'Collect Iron', 'Collect Iron with count 1']"," ""Seek out two sturdy Stone Pickaxes, and with them, mine a single piece of Iron from the earth.""","['make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'collect_iron']"
635,"['Eat Plant with count 2', 'Collect Drink', 'Defeat Zombie']"," 'In this realm of pixels, bid the valiant agent to taste two herbs, seize a draught, and defeat a zombie, a creature of the undead.'","['eat_plant', 'eat_plant', 'collect_drink', 'defeat_zombie']"
636,"['Collect Drink', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron']","""Gather a beverage and a rock, then craft a stone pickaxe and mine iron.""","['collect_drink', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
637,"['Make Iron Pickaxe', 'Collect Coal', 'Eat Cow with count 3']"," ""Fashion a stout metal implement, seek out some black stones, and feast on three hearty portions of oxen flesh.""","['make_iron_pickaxe', 'collect_coal', 'eat_cow', 'eat_cow', 'eat_cow']"
638,"['Defeat Skeleton', 'Place Stone', 'Place Plant']","""Vanquish the skeletal adversary, position a stone, and set down a plant within the environment.""","['defeat_skeleton', 'place_stone', 'place_plant']"
639,"['Eat Cow', 'Collect Sapling', 'Make Iron Pickaxe']"," ""Partake of the noble beef, seek out a tender sapling, and fashion an iron pickaxe with care.""","['eat_cow', 'collect_sapling', 'make_iron_pickaxe']"
640,"['Collect Diamond with count 1', 'Make Iron Pickaxe with count 3', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Seek one bright Diamond, and with it, forge an Iron Pickaxe, which needs three glowing Iron Ingots. Then, with your new tool, delve into the earth and mine another Diamond.""","['collect_diamond', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond']"
641,"['Collect Coal', 'Make Iron Sword', 'Make Stone Pickaxe', 'Collect Iron']","""Gather coal, fashion an iron sword, manufacture a stone pickaxe, and accumulate iron.""","['collect_coal', 'make_iron_sword', 'make_stone_pickaxe', 'collect_iron']"
642,"['Collect Sapling', 'Place Plant', 'Collect Wood with count 4', 'Place Table with count 1', 'Make Wood Pickaxe with count 2', 'Collect Coal', 'Make Iron Pickaxe']","""Gather a sapling, transplant a plant, acquire four pieces of wood, position a table, craft two wooden pickaxes, mine coal, and forge an iron pickaxe.""","['collect_sapling', 'place_plant', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
643,"['Collect Iron', 'Make Iron Sword', 'Eat Cow']"," ""Seek out the gleaming veins in the earth, and from them, forge a weapon of old. Then, sate your hunger with the meat of a noble beast.""","['collect_iron', 'make_iron_sword', 'eat_cow']"
644,"['Collect Coal', 'Make Iron Pickaxe', 'Make Wood Pickaxe', 'Collect Stone with count 6', 'Place Furnace']","""Gather coal, manufacture both an iron and a wooden pickaxe, accumulate precisely six stones, and position a furnace in the environment.""","['collect_coal', 'make_iron_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
645,"['Make Stone Sword', 'Collect Coal', 'Make Iron Pickaxe']","""Fashion a stone blade, gather bituminous rock, and manufacture an iron mining tool.""","['make_stone_sword', 'collect_coal', 'make_iron_pickaxe']"
646,"['Collect Stone with count 2', 'Place Plant with count 1', 'Place Table']","""Gather two pieces of stone, position a single plant, and situate a table in the environment.""","['collect_stone', 'collect_stone', 'place_plant', 'place_table']"
647,"['Eat Cow with count 3', 'Collect Wood', 'Place Table']","""Consume three instances of Bovine, gather Firewood, and set up a Dining table.""","['eat_cow', 'eat_cow', 'eat_cow', 'collect_wood', 'place_table']"
648,"['Collect Wood', 'Place Table', 'Place Plant']"," 'Secure timber, place a table, and adorn with greenery.'","['collect_wood', 'place_table', 'place_plant']"
649,"['Collect Wood with count 1', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Seek out a single piece of timber, shape it into a table, carve a wooden pickaxe, collect some stones, and forge a stone sword.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
650,"['Defeat Zombie with count 3', 'Place Table', 'Make Wood Pickaxe']"," ""Slay the three undead, craft a sturdy table, and forge a wooden pickaxe.""","['defeat_zombie', 'defeat_zombie', 'defeat_zombie', 'place_table', 'make_wood_pickaxe']"
651,"['Defeat Skeleton', 'Defeat Skeleton', 'Eat Plant']"," ""Dispatch the skeletal foes and feed thyself with verdure.""The list of subtasks, transformed into a single instructive sentence for an agent in a virtual environment, would be: ""Collect the azure and scarlet cubes and perform a salto.""The list of subtasks, transformed into a single instructive sentence for an agent in a virtual environment, would be: ""Engage the adversary, elude the obstruction, and release the portal.""The list of subtasks, transformed into a single instructive sentence for an agent in a virtual environment, would be: ""Eliminate the foes, bypass the barriers, and unbar the entrance.""","['defeat_skeleton', 'defeat_skeleton', 'eat_plant']"
652,"['Make Iron Sword with count 3', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table']"," ""Forged from iron, three swords must be shaped, and a pickaxe as well. Gather wood, the builder's friend, and place a table in the world.""","['make_iron_sword', 'make_iron_sword', 'make_iron_sword', 'make_iron_pickaxe', 'collect_wood', 'place_table']"
653,"['Eat Cow', 'Collect Sapling', 'Eat Cow']","""Consume a bovine, gather a young tree, and then ingest the bovine again.""","['eat_cow', 'collect_sapling', 'eat_cow']"
654,"['Collect Iron', 'Make Iron Sword', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']","Gather the essential mineral, manufacture a sword made of iron, position a table, construct a pickaxe out of wood, amass stones, and create a pickaxe out of stone.","['collect_iron', 'make_iron_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
655,"['Collect Diamond', 'Collect Wood', 'Place Table', 'Make Wood Sword']"," ""Seek a gem of diamond, amass logs aplenty, fashion a table, and carve a sword of wood.""","['collect_diamond', 'collect_wood', 'place_table', 'make_wood_sword']"
656,"['Defeat Zombie', 'Place Plant', 'Collect Stone']"," 'Bid the valiant agent to purge the land of the unliving, place a stony monument in the wilderness, and collect a glittering vein of ore.'","['defeat_zombie', 'place_plant', 'collect_stone']"
657,"['Make Stone Pickaxe', 'Place Stone', 'Make Iron Sword']","""Fashion a stone pickaxe, position it, and manufacture an iron sword.""","['make_stone_pickaxe', 'place_stone', 'make_iron_sword']"
658,"['Collect Iron', 'Make Iron Sword', 'Collect Iron']"," ""Seek out the needed iron parts, and in the forge, shape them into a sword, all within the confines of the land.""","['collect_iron', 'make_iron_sword', 'collect_iron']"
659,"['Make Wood Pickaxe', 'Collect Wood', 'Place Table']","""Fashion a wooden pickaxe, gather timber, and position a table.""","['make_wood_pickaxe', 'collect_wood', 'place_table']"
660,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Coal']"," ""Partake of the noble beef, shape a tool of wood for delving, and gather the blackened fuel of the earth.""","['eat_cow', 'make_wood_pickaxe', 'collect_coal']"
661,"['Collect Diamond', 'Eat Cow', 'Collect Wood with count 3', 'Place Table with count 2', 'Make Wood Pickaxe', 'Collect Coal']","""Gather a diamond, dine on a cow, acquire three pieces of wood, construct two tables, fashion a wooden pickaxe, and extract coal.""","['collect_diamond', 'eat_cow', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
662,"['Collect Coal', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']"," ""Gather coal and wood, shape a wooden pickaxe, and place a table with the gathered materials.""","['collect_coal', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
663,"['Collect Sapling with count 3', 'Place Plant', 'Eat Cow with count 3']","""Gather three Saplings, transplant a Plant, and consume three Cows in the virtual environment.""","['collect_sapling', 'collect_sapling', 'collect_sapling', 'place_plant', 'eat_cow', 'eat_cow', 'eat_cow']"
664,"['Collect Coal', 'Place Table', 'Make Wood Pickaxe']"," ""Collect coals, set up a table, and craft a wooden pickaxe, as if preparing for a dwarvish mining expedition.""","['collect_coal', 'place_table', 'make_wood_pickaxe']"
665,"['Eat Cow', 'Collect Drink with count 1', 'Collect Wood']","""Consume a cow, gather a drink once, and collect some wood.""","['eat_cow', 'collect_drink', 'collect_wood']"
666,"['Defeat Skeleton with count 1', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," 'Obtain ten ores from the earth, forge them into five bars, craft a sword, and manufacture a shield.""","['defeat_skeleton', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
667,"['Collect Sapling', 'Place Plant', 'Collect Coal']"," ""Find a sapling, plant it in the earth, and collect some firewood.""","['collect_sapling', 'place_plant', 'collect_coal']"
668,"['Collect Sapling', 'Place Plant', 'Make Wood Pickaxe']","""Gather a young tree, transplant it, and craft a wooden pickaxe.""","['collect_sapling', 'place_plant', 'make_wood_pickaxe']"
669,"['Collect Diamond', 'Collect Iron', 'Collect Sapling', 'Place Plant']"," ""Seek a gem of diamond, a chunk of iron, and a young tree. Then, set the sprout in earth.""","['collect_diamond', 'collect_iron', 'collect_sapling', 'place_plant']"
670,"['Collect Wood', 'Place Table with count 3', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword']"," ""Gather logs for a blaze, hew a table from the trees, carve a pick from the timber, amass stones, and forge a blade of stone.""","['collect_wood', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
671,"['Collect Wood with count 3', 'Collect Wood', 'Place Table']"," ""Seek out three staves of wood, pile up more kindling, and place a table in its stead.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
672,"['Collect Stone', 'Make Stone Pickaxe', 'Eat Plant']","""Gather a rock, craft a stone tool, and consume a vegetable.""","['collect_stone', 'make_stone_pickaxe', 'eat_plant']"
673,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal with count 2']","""Vanquish the undead creature, craft a wooden pickaxe, and gather exactly two units of coal.""","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal', 'collect_coal']"
674,"['Defeat Zombie', 'Make Iron Sword', 'Place Plant with count 2']","""Vanquish the undead being, forge a metallic blade, and position a pair of flora specimens.""","['defeat_zombie', 'make_iron_sword', 'place_plant', 'place_plant']"
675,"['Make Wood Sword with count 3', 'Collect Sapling with count 3', 'Collect Coal']","""Procure the necessary materials to craft a wooden blade in triplicate, gather three saplings, and obtain an ample supply of coal.""","['make_wood_sword', 'make_wood_sword', 'make_wood_sword', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'collect_coal']"
676,"['Collect Stone', 'Place Furnace', 'Place Plant', 'Eat Plant']"," ""Find a stone, build a hearth, plant a growth, and taste a bloom.""","['collect_stone', 'place_furnace', 'place_plant', 'eat_plant']"
677,"['Collect Sapling', 'Place Plant', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe']","""Gather a sapling, position a plant, accumulate timber, set up a table, and manufacture a wooden pickaxe.""","['collect_sapling', 'place_plant', 'collect_wood', 'place_table', 'make_wood_pickaxe']"
678,"['Collect Sapling', 'Collect Diamond', 'Place Table', 'Make Wood Pickaxe']"," ""Seek a young tree, a gem of diamond, build a table, and fashion a wooden pickaxe.""","['collect_sapling', 'collect_diamond', 'place_table', 'make_wood_pickaxe']"
679,"['Eat Plant', 'Defeat Skeleton', 'Collect Wood']","Instruct the agent to consume vegetation, vanquish the skeletal adversary, and gather wooden materials in a virtual environment.","['eat_plant', 'defeat_skeleton', 'collect_wood']"
680,"['Defeat Skeleton', 'Make Wood Sword', 'Collect Sapling']"," ""Overcome the skeletal foe, fashion a wooden blade, and acquire a young tree.""","['defeat_skeleton', 'make_wood_sword', 'collect_sapling']"
681,"['Defeat Zombie', 'Wake Up', 'Make Wood Sword with count 2']"," ""Awake the sleeper, slay the undead creature, and fashion a wooden sword twofold.""","['defeat_zombie', 'wake_up', 'make_wood_sword', 'make_wood_sword']"
